signal,decision,stop_index,stop_date,stop_time_years,evidence_at_stop,posterior_mean_at_stop,posterior_dead_at_stop,calibration_months,validation_months,monthly_sigma,validation_increment_mean,validation_increment_variance_over_dt,validation_lag1_autocorr,holdout_months,holdout_mean_return_percent,holdout_t_stat,decision_label,first_date,last_date
BM_signflip,-1,43,1983-08-31,3.583333333333333,0.06951692198445814,0.002220757817430398,0.7532047178391391,120,240,5.171807393085145,0.000721574372798812,0.6251076837269153,0.09116754832358497,120,1.6259533435181732,5.457346584936583,reject,1970-01-30,2020-12-31
BMdec_signflip,1,43,1983-08-31,3.583333333333333,-3.782287574249401,-0.14866478558231155,0.5727510753831397,120,240,4.082432594712805,-0.02251344625566357,0.6405602965897105,0.13575964229663254,120,1.1449806198714507,4.719578365453276,activate,1970-01-30,2020-12-31
BPEBM_signflip,-1,62,1985-03-29,5.166666666666666,-0.70299967832691,-0.023753984469904302,0.7682559500989979,120,240,1.2302857799808296,0.0177180817361177,1.388578975500459,-0.11640645251645412,120,-0.07767166569081405,-0.6549307530201502,reject,1970-01-30,2020-12-31
Beta_signflip,-1,43,1983-08-31,3.583333333333333,0.10970318789126271,0.0037014168058206176,0.7531155113880574,120,240,6.514329996568064,0.010069099467715913,0.6449630322594656,0.023855577683248492,120,-0.6048449399720688,-1.3959650519765319,reject,1970-01-30,2020-12-31
BetaFP_signflip,-1,109,1989-02-28,9.083333333333332,1.882016107655461,0.05223532418882513,0.7831356960412975,120,240,7.699764641351559,0.024315161836819685,0.681255104595967,-0.11702101611590618,120,0.016594853822253224,0.027870478272388435,reject,1970-01-30,2020-12-31
BetaLiquidityPS_signflip,-1,47,1983-12-30,3.9166666666666665,0.06152334544477989,0.002179205878613269,0.7578224309387923,120,240,3.884514440978053,0.02475984412327695,0.7657457132890323,0.0928791509121485,120,0.0999043431588061,0.3261433795118184,reject,1970-01-30,2020-01-31
BetaTailRisk_signflip,-1,74,1986-03-31,6.166666666666666,-1.0998980862231174,-0.03544237062338852,0.772356794223128,120,240,3.1355319069100265,0.024824372294457737,1.0979174293729326,-0.02138335259655121,120,0.016148960158923205,0.05461984805910266,reject,1970-01-30,2020-12-31
BidAskSpread_signflip,-1,70,1985-11-29,5.833333333333333,-0.9638075584296355,-0.031457142781137676,0.7715729000314189,120,240,8.462083124050027,-0.02317079860969893,0.5461159502519993,0.13853009265482602,120,0.11222027525531342,0.1883947342415452,reject,1970-01-30,2020-01-31
BookLeverage_signflip,-1,74,1986-03-31,6.166666666666666,-1.0166702628173352,-0.03281670566615239,0.7744684334082258,120,240,1.7318214703544657,-0.010444364572722901,2.1958677856885402,-0.10818858521873294,120,0.1677157969483478,0.9984287087452706,reject,1970-01-30,2020-12-31
BrandInvest_signflip,-1,45,1983-10-31,3.75,-0.21694477582912203,-0.008068763226249824,0.7549006003331461,120,240,5.177153536284839,0.006031632839989103,0.9375370716127835,-0.11990468897537243,120,-0.2748480026771195,-0.6606438292361024,reject,1970-01-30,2020-12-31
