replication,seed,n_signals,placebo_activation_count,placebo_activation_rate,activation_gap
81,34300,192,69,0.359375,0.36979166666666663
82,34301,192,59,0.3072916666666667,0.42187499999999994
83,34302,192,51,0.265625,0.46354166666666663
84,34303,192,55,0.2864583333333333,0.4427083333333333
85,34304,192,56,0.2916666666666667,0.43749999999999994
86,34305,192,63,0.328125,0.40104166666666663
87,34306,192,55,0.2864583333333333,0.4427083333333333
88,34307,192,63,0.328125,0.40104166666666663
89,34308,192,42,0.21875,0.5104166666666666
90,34309,192,52,0.2708333333333333,0.4583333333333333
91,34310,192,66,0.34375,0.38541666666666663
92,34311,192,56,0.2916666666666667,0.43749999999999994
93,34312,192,62,0.3229166666666667,0.40624999999999994
94,34313,192,52,0.2708333333333333,0.4583333333333333
95,34314,192,62,0.3229166666666667,0.40624999999999994
96,34315,192,49,0.2552083333333333,0.4739583333333333
97,34316,192,53,0.2760416666666667,0.45312499999999994
98,34317,192,66,0.34375,0.38541666666666663
99,34318,192,61,0.3177083333333333,0.4114583333333333
100,34319,192,63,0.328125,0.40104166666666663
101,34320,192,66,0.34375,0.38541666666666663
102,34321,192,54,0.28125,0.44791666666666663
103,34322,192,55,0.2864583333333333,0.4427083333333333
104,34323,192,51,0.265625,0.46354166666666663
105,34324,192,63,0.328125,0.40104166666666663
106,34325,192,49,0.2552083333333333,0.4739583333333333
107,34326,192,61,0.3177083333333333,0.4114583333333333
108,34327,192,57,0.296875,0.43229166666666663
109,34328,192,62,0.3229166666666667,0.40624999999999994
110,34329,192,53,0.2760416666666667,0.45312499999999994
111,34330,192,65,0.3385416666666667,0.39062499999999994
112,34331,192,55,0.2864583333333333,0.4427083333333333
113,34332,192,56,0.2916666666666667,0.43749999999999994
114,34333,192,62,0.3229166666666667,0.40624999999999994
115,34334,192,51,0.265625,0.46354166666666663
116,34335,192,65,0.3385416666666667,0.39062499999999994
117,34336,192,62,0.3229166666666667,0.40624999999999994
118,34337,192,53,0.2760416666666667,0.45312499999999994
119,34338,192,49,0.2552083333333333,0.4739583333333333
120,34339,192,61,0.3177083333333333,0.4114583333333333
121,34340,192,51,0.265625,0.46354166666666663
122,34341,192,53,0.2760416666666667,0.45312499999999994
123,34342,192,56,0.2916666666666667,0.43749999999999994
124,34343,192,58,0.3020833333333333,0.4270833333333333
125,34344,192,62,0.3229166666666667,0.40624999999999994
126,34345,192,52,0.2708333333333333,0.4583333333333333
127,34346,192,54,0.28125,0.44791666666666663
128,34347,192,50,0.2604166666666667,0.46874999999999994
129,34348,192,56,0.2916666666666667,0.43749999999999994
130,34349,192,64,0.3333333333333333,0.3958333333333333
131,34350,192,49,0.2552083333333333,0.4739583333333333
132,34351,192,70,0.3645833333333333,0.3645833333333333
133,34352,192,53,0.2760416666666667,0.45312499999999994
134,34353,192,68,0.3541666666666667,0.37499999999999994
135,34354,192,50,0.2604166666666667,0.46874999999999994
136,34355,192,54,0.28125,0.44791666666666663
137,34356,192,60,0.3125,0.41666666666666663
138,34357,192,62,0.3229166666666667,0.40624999999999994
139,34358,192,65,0.3385416666666667,0.39062499999999994
140,34359,192,60,0.3125,0.41666666666666663
141,34360,192,52,0.2708333333333333,0.4583333333333333
142,34361,192,61,0.3177083333333333,0.4114583333333333
143,34362,192,56,0.2916666666666667,0.43749999999999994
144,34363,192,57,0.296875,0.43229166666666663
145,34364,192,54,0.28125,0.44791666666666663
146,34365,192,54,0.28125,0.44791666666666663
147,34366,192,60,0.3125,0.41666666666666663
148,34367,192,48,0.25,0.47916666666666663
149,34368,192,50,0.2604166666666667,0.46874999999999994
150,34369,192,64,0.3333333333333333,0.3958333333333333
151,34370,192,55,0.2864583333333333,0.4427083333333333
152,34371,192,62,0.3229166666666667,0.40624999999999994
153,34372,192,55,0.2864583333333333,0.4427083333333333
154,34373,192,49,0.2552083333333333,0.4739583333333333
155,34374,192,58,0.3020833333333333,0.4270833333333333
156,34375,192,57,0.296875,0.43229166666666663
157,34376,192,54,0.28125,0.44791666666666663
158,34377,192,67,0.3489583333333333,0.3802083333333333
159,34378,192,50,0.2604166666666667,0.46874999999999994
160,34379,192,59,0.3072916666666667,0.42187499999999994
161,34380,192,58,0.3020833333333333,0.4270833333333333
162,34381,192,57,0.296875,0.43229166666666663
163,34382,192,55,0.2864583333333333,0.4427083333333333
164,34383,192,49,0.2552083333333333,0.4739583333333333
165,34384,192,52,0.2708333333333333,0.4583333333333333
166,34385,192,57,0.296875,0.43229166666666663
167,34386,192,61,0.3177083333333333,0.4114583333333333
168,34387,192,65,0.3385416666666667,0.39062499999999994
169,34388,192,60,0.3125,0.41666666666666663
170,34389,192,66,0.34375,0.38541666666666663
171,34390,192,57,0.296875,0.43229166666666663
172,34391,192,71,0.3697916666666667,0.35937499999999994
173,34392,192,56,0.2916666666666667,0.43749999999999994
174,34393,192,61,0.3177083333333333,0.4114583333333333
175,34394,192,47,0.24479166666666666,0.484375
176,34395,192,47,0.24479166666666666,0.484375
177,34396,192,52,0.2708333333333333,0.4583333333333333
178,34397,192,55,0.2864583333333333,0.4427083333333333
179,34398,192,56,0.2916666666666667,0.43749999999999994
180,34399,192,53,0.2760416666666667,0.45312499999999994
181,34400,192,57,0.296875,0.43229166666666663
182,34401,192,60,0.3125,0.41666666666666663
183,34402,192,56,0.2916666666666667,0.43749999999999994
184,34403,192,64,0.3333333333333333,0.3958333333333333
185,34404,192,57,0.296875,0.43229166666666663
186,34405,192,54,0.28125,0.44791666666666663
187,34406,192,54,0.28125,0.44791666666666663
188,34407,192,60,0.3125,0.41666666666666663
189,34408,192,60,0.3125,0.41666666666666663
190,34409,192,58,0.3020833333333333,0.4270833333333333
191,34410,192,63,0.328125,0.40104166666666663
192,34411,192,53,0.2760416666666667,0.45312499999999994
193,34412,192,55,0.2864583333333333,0.4427083333333333
194,34413,192,67,0.3489583333333333,0.3802083333333333
195,34414,192,66,0.34375,0.38541666666666663
196,34415,192,68,0.3541666666666667,0.37499999999999994
197,34416,192,63,0.328125,0.40104166666666663
198,34417,192,60,0.3125,0.41666666666666663
199,34418,192,48,0.25,0.47916666666666663
