signal,decision,stop_index,stop_date,stop_time_years,evidence_at_stop,posterior_mean_at_stop,posterior_dead_at_stop,calibration_months,validation_months,monthly_sigma,validation_increment_mean,validation_increment_variance_over_dt,validation_lag1_autocorr,holdout_months,holdout_mean_return_percent,holdout_t_stat,decision_label,first_date,last_date
AM,1,46,1983-11-30,3.833333333333333,3.9725934618549488,0.1554309903132075,0.5601301487082296,120,240,3.6710421996361253,0.05908390277654515,1.2491344617334692,0.3321583077798249,120,0.855390960901125,2.989803602772719,activate,1970-01-30,2020-12-31
AOP,-1,64,1991-11-29,5.333333333333333,0.6750492043198751,0.02284935048660571,0.7708313652738152,120,240,2.8231429493291107,0.01227685766583202,0.9312918265344052,0.06732970435167271,120,0.2215433832484593,0.7730769995591555,reject,1976-07-30,2020-12-31
AbnormalAccruals,1,26,1984-09-28,2.1666666666666665,3.5793605302962765,0.1491384991377323,0.563608446192815,120,240,1.5597379434387235,0.047134936845514494,1.8065650182044843,0.04991559992744189,120,0.41314250877947095,2.3799046211144614,activate,1972-07-31,2020-12-31
Accruals,-1,43,1983-08-31,3.583333333333333,0.03523236812490038,0.001480485985445347,0.7532325962618014,120,240,2.35279295909048,0.07101082929105032,0.6482310846314271,0.19300433516736257,120,0.7989703660309316,4.703671020196588,reject,1970-01-30,2020-12-31
AccrualsBM,1,49,1984-02-29,4.083333333333333,3.472077079913129,0.1330511854140633,0.6067271152746153,120,240,6.150816473098495,0.06439233066469073,0.5691480511295522,0.16992346374849648,120,1.3238249712123185,3.43534076293337,activate,1970-01-30,2020-12-31
AdExp,1,50,1984-03-30,4.166666666666666,3.410497145563923,0.13007722957485945,0.6130283169249058,120,240,4.583600950702141,0.03567299719348707,0.5470645749125742,0.16724800029201645,120,0.7555237582262853,2.4687170234650293,activate,1970-01-30,2020-12-31
AgeIPO,-1,43,1994-07-29,3.583333333333333,-0.020023638142242298,-0.000740237224404014,0.7532493236369004,120,240,3.162517940086468,0.04673314077066202,3.49127562843038,0.16275123210567238,120,0.6008414863566122,0.9448147377180971,reject,1980-12-31,2020-12-31
AnalystRevision,1,19,1987-10-30,1.5833333333333333,3.5606495087638987,0.15195104616308816,0.5545070928796026,120,240,1.4075856447140414,0.17854931037756916,1.320551333566899,-0.013125308242559506,120,1.123705111561095,8.67511848741091,activate,1976-03-31,2020-06-30
AnalystValue,1,53,1990-12-31,4.416666666666666,-3.6710042583928573,-0.1392482558715967,0.5963385921686817,120,240,2.2266296881975194,0.02137945631366084,4.917160711611095,0.24263181973549455,120,-0.22976848916864137,-0.5412434815310307,activate,1976-07-30,2020-12-31
AnnouncementReturn,1,19,1983-03-31,1.5833333333333333,3.5011209450567238,0.1493258512761112,0.559541621681923,120,240,2.356487880011128,0.16572324134740396,0.48499344434845276,-0.11641616383818833,120,1.2691947197224809,11.487406727474424,activate,1971-08-31,2020-12-31
AssetGrowth,1,35,1982-12-31,2.9166666666666665,3.545869503086426,0.14272738258259396,0.5807159716960699,120,240,3.172069985358876,0.12479798648076336,1.4302357908885772,0.061619111126324164,120,1.0129084206294938,2.852619843550901,activate,1970-01-30,2020-12-31
BM,1,46,1983-11-30,3.833333333333333,3.765535098492418,0.14623516951316898,0.5790287883914428,120,240,5.171807393085145,0.07229365759935795,0.5621350707251955,0.18439969231208103,120,1.5158048394909651,5.18503960522562,activate,1970-01-30,2020-12-31
BMdec,1,46,1983-11-30,3.833333333333333,3.703176424326675,0.14373045578310478,0.5840877078411286,120,240,4.082432594712805,0.06536832092670797,0.595177255162117,0.237896091559158,120,1.0210453212779016,4.286039791891333,activate,1970-01-30,2020-12-31
BPEBM,-1,79,1986-08-29,6.583333333333333,0.6754399585703401,0.02124016837879893,0.7869707328627565,120,240,1.2302857799808296,0.0336388027642571,1.3787262589427436,0.20910215972539414,120,0.022199895354776584,0.17803042668952765,reject,1970-01-30,2020-12-31
Beta,-1,43,1983-08-31,3.583333333333333,-0.09247872357189255,-0.0037014168058206176,0.7531155113880574,120,240,6.514329996568064,-0.000883447782012392,0.6461753590302974,0.24066547757230375,120,-0.6048449399720688,-1.3959650519765319,reject,1970-01-30,2020-12-31
BetaFP,1,53,1984-06-29,4.416666666666666,-3.4823350639549937,-0.13103851635080957,0.6126761653792051,120,240,7.699764641351559,-0.013536016446633893,0.6861716303668988,0.22406192422776858,120,-0.6930188339009041,-1.2263212862089177,activate,1970-01-30,2020-12-31
BetaLiquidityPS,1,49,1984-02-29,4.083333333333333,3.563435433448513,0.13635770580394346,0.6002239385593443,120,240,3.884514440978053,0.03482745816276202,0.7585167691556368,0.11785521382250541,120,0.020250524943497557,0.06782832060039379,activate,1970-01-30,2020-01-31
BetaTailRisk,1,42,1983-07-29,3.5,3.605754386331622,0.14163254535013114,0.5863697679764793,120,240,3.1355319069100265,0.019753172298403242,1.1006415194759231,0.25977038802941377,120,-0.16074485529648103,-0.5195837658019088,activate,1970-01-30,2020-12-31
BidAskSpread,-1,53,1984-06-29,4.416666666666666,0.5069498181370891,0.017680760967636842,0.7613170677082751,120,240,8.462083124050027,0.0016423836509394034,0.5525530332409722,0.08244035430371238,120,-0.30801707046744975,-0.5049866535647113,reject,1970-01-30,2020-01-31
BookLeverage,-1,46,1983-11-30,3.833333333333333,-0.008425711626111804,0.0,0.756723240027216,120,240,1.7318214703544657,0.01546203555563069,2.1943013814980654,0.35810719501706045,120,0.09020727369935357,0.5616247149500078,reject,1970-01-30,2020-12-31
BrandInvest,-1,67,1985-08-30,5.583333333333333,0.8185537458931589,0.0272047107237086,0.771437059658858,120,240,5.177153536284839,0.004184520554758205,0.9377644636690035,-0.005371128395720399,120,0.04852139099585715,0.11914188586359312,reject,1970-01-30,2020-12-31
CBOperProf,-1,44,1983-09-30,3.6666666666666665,-0.15299925880521278,-0.005895039641912257,0.7540590265969382,120,240,4.221844130805885,0.03349072982668004,0.5657351490483716,0.10035236188064389,120,0.5624145965215114,2.0563045478394764,reject,1970-01-30,2020-12-31
CF,1,59,1984-12-31,4.916666666666666,3.71485183932823,0.13777345483417996,0.6020248343570384,120,240,3.5746858364354117,0.0388891353213133,1.2997875079576728,0.04356665485411448,120,0.49252651575794676,1.1610723789047364,activate,1970-01-30,2020-12-31
Cash,1,97,1989-11-30,8.083333333333332,3.4126399684883224,0.10756250440610765,0.6800082266370127,120,240,3.0586751198687523,0.07587121299362537,3.6992935535386278,0.17478697254503422,120,0.98598088690702,2.601579934661578,activate,1971-10-29,2020-12-31
CashProd,1,51,1984-04-30,4.25,3.647187316489272,0.138635393879708,0.5966451077549484,120,240,3.4014503892093972,0.05113029947575846,0.8934632086371362,0.3389049752869353,120,0.8446272234594691,3.977566657163313,activate,1970-01-30,2020-12-31
ChAssetTurnover,-1,49,1984-02-29,4.083333333333333,0.3673449577162604,0.012963182978303477,0.7583874863088617,120,240,1.3689184571608162,0.0545161854992169,0.5767438561293148,0.14346358931537234,120,0.35438649545662887,4.172644719832189,reject,1970-01-30,2020-12-31
ChEQ,-1,61,1985-02-28,5.083333333333333,0.47187719574413794,0.016333345619275096,0.7705406435856652,120,240,2.865645995236387,0.050515835824394444,1.0738380770107374,0.08585206590644857,120,0.5505624076640522,1.9268139320703543,reject,1970-01-30,2020-12-31
ChForecastAccrual,1,37,1989-08-31,3.083333333333333,3.6271947664309323,0.1450823121148293,0.5770984312149112,120,240,1.1683239678088893,0.06937662588263811,1.3518986936800403,-0.07518865070270717,120,0.2846082543296455,2.5062687089597997,activate,1976-07-30,2020-06-30
ChInv,1,46,1983-11-30,3.833333333333333,3.41858366283168,0.13207629987439679,0.6070812068816973,120,240,2.3429346925733396,0.11129860542881544,1.005322530558836,0.10724787443026305,120,0.7393185669587449,3.221379637896092,activate,1970-01-30,2020-12-31
ChInvIA,1,35,1982-12-31,2.9166666666666665,3.8414482867777044,0.15548883987881154,0.5553115917824061,120,240,1.3433965428144203,0.0949343711183977,1.207984803279762,0.08836129503074663,120,0.27108622446036906,2.145592136888492,activate,1970-01-30,2020-12-31
ChNAnalyst,1,79,1993-06-30,6.583333333333333,4.119598109938243,0.14330255816897236,0.5982627837252468,120,240,5.436290523977983,0.0831981381630441,1.2632916130135154,0.013335763297620307,120,0.9290689036219827,1.7997594654180398,activate,1976-05-28,2020-06-30
ChNNCOA,1,47,1983-12-30,3.9166666666666665,3.4724286433109133,0.13406159225422656,0.6037405532869063,120,240,1.1156725808537609,0.08907247225659803,1.0574067401634877,0.14605384850385708,120,0.3539247035421928,3.378239917454879,activate,1970-01-30,2020-12-31
ChNWC,1,85,1987-02-27,7.083333333333333,3.9178541542575473,0.13227997952127576,0.624008108542491,120,240,1.1591555675171012,0.04942777356302524,0.417517474859348,0.06751036187819395,120,0.2007196099319308,3.3132323052058523,activate,1970-01-30,2020-12-31
ChTax,1,11,1980-12-31,0.9166666666666666,3.3951119822056035,0.14907483742510175,0.5555262842179212,120,240,3.2371574856354224,0.10954209769787544,0.4188952467948683,1.8405354406643112e-05,120,1.3680549808297944,7.329531526408095,activate,1970-01-30,2020-12-31
CitationsRD,1,79,1994-02-28,6.583333333333333,3.5220032338050387,0.11979432988325892,0.6473736191032656,120,240,1.697872912500198,0.031214139893507156,1.1479248803691908,0.21631894325264045,120,0.22874117395052634,1.1368330169272487,activate,1977-07-29,2011-06-30
CompEquIss,1,11,1980-12-31,0.9166666666666666,3.4386885716629703,0.15085206374211158,0.5522039107719026,120,240,1.9670495479390404,0.06168892388205333,1.353086210888585,0.1932345416414184,120,0.4181247324453425,1.9759824215746888,activate,1970-01-30,2020-12-31
CompositeDebtIssuance,1,50,1984-03-30,4.166666666666666,3.5448099318928605,0.13502095992682053,0.6033547945796575,120,240,1.5474642670720182,0.06678782065228095,0.5642771715322643,0.028807306461528886,120,0.3716939087279793,3.1664224759731026,activate,1970-01-30,2020-12-31
ConvDebt,1,43,1983-08-31,3.583333333333333,3.6856907437731334,0.14446792967553077,0.5812074807380354,120,240,1.140954283429141,0.098707391726018,0.8374443858211039,0.09708605794953394,120,0.2651863829667596,2.95644897052998,activate,1970-01-30,2020-12-31
CoskewACX,-1,56,1984-09-28,4.666666666666666,0.32983550225160085,0.011142550177252027,0.7666762145742969,120,240,1.9648037191429013,0.045089983638975255,1.4520426671698745,0.04617277904261411,120,0.32680055397264424,1.3489737800027,reject,1970-01-30,2020-12-31
Coskewness,1,11,1980-12-31,0.9166666666666666,3.430347834621009,0.15085206374211158,0.5522039107719026,120,240,2.57615579387537,0.03862498094615258,0.8579113092052137,0.10138313432868286,120,0.13909068753683324,0.7229467380659831,activate,1970-01-30,2020-12-31
CredRatDG,1,34,1998-12-31,2.833333333333333,3.850490205953024,0.15688040876128945,0.5520376028214589,120,240,3.2638140930597235,0.0784855953150152,1.8853522781454681,0.11892785971050805,120,1.2151399003340846,3.3366512148409737,activate,1986-02-28,2017-01-31
CustomerMomentum,1,43,1991-02-28,3.583333333333333,3.7278220515376916,0.14614620568884676,0.5778391382642479,120,240,5.123311108899752,0.0540264975444007,1.5659573266795905,0.10303239459783461,120,1.7000804799515659,2.546022024443825,activate,1977-07-29,2020-12-31
DebtIssuance,1,33,1984-10-31,2.75,3.4983580737503552,0.1420573785427604,0.5809810421548135,120,240,1.0538584763656142,0.13957991956707844,1.383297419138857,0.009572924156219737,120,0.3738021203507081,4.883870862305261,activate,1972-01-31,2020-12-31
DelBreadth,1,75,1996-10-31,6.25,3.4043215771274227,0.11708475858235876,0.6509062253064997,120,240,2.6267288395266095,0.06954792282691638,4.337188491269769,-0.03309236205837487,120,1.0187324580566886,1.632175539619724,activate,1980-07-31,2020-01-31
DelCOA,1,49,1984-02-29,4.083333333333333,3.4368954556525324,0.13140056692390573,0.6099446137411109,120,240,2.0913230988984193,0.08169577110200743,0.8394995225328287,0.09614533720159901,120,0.5180234536543669,2.980641266288118,activate,1970-01-30,2020-12-31
