variant,kappa,observation_cost,rho,n_signals,real_activation_rate,placebo_activation_rate,activation_gap,real_mean_decision_month,real_mean_holdout_if_activated
baseline,0.005,0.001,0.25,192,0.7291666666666666,0.2708333333333333,0.4583333333333333,47.875,0.7469420188900427
kappa_half,0.0025,0.001,0.25,192,0.75,0.2864583333333333,0.4635416666666667,47.40624999999999,0.7385351810845194
kappa_double,0.01,0.001,0.25,192,0.6979166666666666,0.265625,0.4322916666666667,48.31249999999999,0.7593124939796878
cost_half,0.005,0.0005,0.25,192,0.8020833333333334,0.3229166666666667,0.4791666666666667,56.54166666666666,0.7109223235636044
cost_double,0.005,0.002,0.25,192,0.5416666666666666,0.22916666666666666,0.3125,32.39062499999999,0.8197333848851548
rho_half,0.005,0.001,0.125,192,0.7864583333333334,0.265625,0.5208333333333334,70.66666666666666,0.7098818026638283
rho_double,0.005,0.001,0.5,192,0.4739583333333333,0.21875,0.2552083333333333,25.328124999999996,0.8212335285482786
