grid,n_time,n_evidence,dt,dy,initial_value,abs_initial_value_error_vs_fine,activation_boundary_y_month_0,activation_boundary_y_month_60,activation_boundary_y_month_120,region_disagreement_vs_fine
coarse,121,401,0.16666666666666666,0.040000000000000036,0.007154777681145383,0.0002742320290696227,3.3200000000000003,3.3599999999999994,3.120000000000001,0.020188118914332427
medium_time,241,401,0.08333333333333333,0.040000000000000036,0.006988466207414943,0.00010792055533918269,3.4000000000000004,3.4399999999999995,3.24,0.008867871814240333
medium_space,241,601,0.08333333333333333,0.026666666666666394,0.006975591431937027,9.504577986126604e-05,3.3866666666666667,3.413333333333334,3.2266666666666666,0.008640225163232996
paper,241,801,0.08333333333333333,0.019999999999999574,0.006969223976441536,8.867832436577558e-05,3.380000000000001,3.42,3.2200000000000006,0.009012737864881364
fine,481,1001,0.041666666666666664,0.016000000000000014,0.006880545652075761,0.0,3.4239999999999995,3.4719999999999995,3.2799999999999994,0.0
