dead_activation_penalty,n_signals,real_activation_rate,placebo_activation_rate,activation_gap,real_mean_holdout_if_activated,placebo_mean_holdout_if_activated,real_mean_posterior_dead_at_stop,placebo_mean_posterior_dead_at_stop
0.0,192,0.9114583333333334,0.6041666666666666,0.30729166666666674,0.6628463209244121,0.6358757704553588,0.6662256061269816,0.7210530517572754
0.002,192,0.8958333333333334,0.5625,0.33333333333333337,0.6753674981025901,0.6229369097101822,0.6640491637942229,0.7220630513514322
0.005,192,0.8697916666666666,0.5208333333333334,0.34895833333333326,0.6898383722502406,0.6217951735148229,0.6619342352990395,0.7203442531377613
0.01,192,0.8489583333333334,0.4739583333333333,0.37500000000000006,0.6970357998903018,0.6413046190264353,0.6570381345502404,0.7202445927171247
0.02,192,0.828125,0.390625,0.4375,0.6907997492366494,0.6277875855676621,0.6476974212353311,0.7194327430983923
0.04,192,0.7291666666666666,0.2708333333333333,0.4583333333333333,0.7469420188900427,0.6559113911994298,0.6369191533955243,0.719836525306072
0.08,192,0.625,0.15104166666666666,0.47395833333333337,0.8072714827560413,0.6486453655701824,0.6189220650790187,0.7234959685471914
