signal,decision,stop_index,stop_date,stop_time_years,evidence_at_stop,posterior_mean_at_stop,posterior_dead_at_stop,calibration_months,validation_months,monthly_sigma,validation_increment_mean,validation_increment_variance_over_dt,validation_lag1_autocorr,holdout_months,holdout_mean_return_percent,holdout_t_stat,decision_label,first_date,last_date
STreversal,1,30,1982-07-30,2.5,3.421527688041714,0.1401743716888348,0.5829899459443431,120,240,5.576760165529238,0.13716605805775348,0.6805744949272395,0.06931328262611339,120,2.743133817587045,6.595392908948929,activate,1970-01-30,2020-12-31
Mom12m,1,35,1982-12-31,2.9166666666666665,3.8024912993981674,0.1537875834437163,0.5587571333959344,120,240,6.178622939233541,0.06488933357759953,0.778058366519954,-0.039865612233644786,120,1.0649059986372211,2.0208233297482026,activate,1970-01-30,2020-12-31
BM,1,46,1983-11-30,3.833333333333333,3.765535098492418,0.14623516951316898,0.5790287883914428,120,240,5.171807393085145,0.07229365759935795,0.5621350707251955,0.18439969231208103,120,1.5158048394909651,5.18503960522562,activate,1970-01-30,2020-12-31
OperProf,1,34,1982-11-30,2.833333333333333,3.799206463374944,0.15432484092599774,0.5572156498360922,120,240,2.1928256051159947,0.09063909801497395,1.252444711359296,0.15373677280849907,120,0.9831798061120144,5.03250959606058,activate,1970-01-30,2020-12-31
AssetGrowth,1,35,1982-12-31,2.9166666666666665,3.545869503086426,0.14272738258259396,0.5807159716960699,120,240,3.172069985358876,0.12479798648076336,1.4302357908885772,0.061619111126324164,120,1.0129084206294938,2.852619843550901,activate,1970-01-30,2020-12-31
GP,1,118,1989-11-30,9.833333333333332,3.2645482583420353,0.09277666678166324,0.7187664790028739,120,240,3.400132129432523,0.03568684155677152,0.6910823031617976,-0.01557607658299124,120,0.5057494898427508,1.9143900082236538,activate,1970-01-30,2020-12-31
Accruals,-1,43,1983-08-31,3.583333333333333,0.03523236812490038,0.001480485985445347,0.7532325962618014,120,240,2.35279295909048,0.07101082929105032,0.6482310846314271,0.19300433516736257,120,0.7989703660309316,4.703671020196588,reject,1970-01-30,2020-12-31
BidAskSpread,-1,53,1984-06-29,4.416666666666666,0.5069498181370891,0.017680760967636842,0.7613170677082751,120,240,8.462083124050027,0.0016423836509394034,0.5525530332409722,0.08244035430371238,120,-0.30801707046744975,-0.5049866535647113,reject,1970-01-30,2020-01-31
