signal,decision,stop_index,stop_date,stop_time_years,evidence_at_stop,posterior_mean_at_stop,posterior_dead_at_stop,calibration_months,validation_months,monthly_sigma,validation_increment_mean,validation_increment_variance_over_dt,validation_lag1_autocorr,holdout_months,holdout_mean_return_percent,holdout_t_stat,signal_base,return_kind,decision_label,standard_direction_decision_label,first_date,last_date,calibration_mean_return_percent,validation_mean_return_percent
BM_gross,1,101,1988-05-31,8.416666666666666,3.4392185795694754,0.10646295790896412,0.6839705402984076,120,240,6.77121565289763,-0.0004883252727281351,0.6782900001520735,0.14730689238637462,120,-0.40964060988279294,-0.8685644189912977,BM,gross,activate,activate,1970-01-31,2024-11-30,1.3751485164417498,-0.011454245046229487
BM_net_range_cost,1,32,1982-08-31,2.6666666666666665,-3.425934970596104,-0.13915394042768492,0.5860256656001216,120,240,6.90966849316285,-0.1971265324893796,0.8419590499878925,0.21061030236854175,120,-4.174315448043274,-7.136540365861097,BM,net_range_cost,activate,reject,1970-01-31,2024-11-30,-1.479375232314242,-4.718380031657857
Mom12m_gross,1,34,1982-10-31,2.833333333333333,3.488586100929103,0.1406900636028908,0.5841481081651568,120,240,6.657393262897067,0.10122425840528976,0.9269466182075531,0.10034412982756873,120,2.370152123817246,4.269526869314738,Mom12m,gross,activate,activate,1970-01-31,2024-11-30,2.183154216550659,2.3344223841620644
Mom12m_net_range_cost,1,17,1981-05-31,1.4166666666666665,-3.663366672334335,-0.1573884854390912,0.5429253772555468,120,240,7.558984070250518,-0.36081951372025056,1.2991980934239225,0.25121225089131294,120,-6.708090936072332,-9.345149567726798,Mom12m,net_range_cost,activate,reject,1970-01-31,2024-11-30,-5.707151555173542,-9.44809105320123
OperProf_gross,1,54,1984-06-30,4.5,3.634645386423477,0.13708731706819735,0.6011491837922391,120,240,4.875127379953052,0.06323762985584777,1.3909374734989572,0.2770750462451008,120,1.7208741011289352,4.0991656255080295,OperProf,gross,activate,activate,1970-01-31,2024-11-30,-0.26780002355276517,1.0679530856937192
OperProf_net_range_cost,1,98,1988-02-29,8.166666666666666,-3.353835307678919,-0.1049321994733512,0.6857147210606475,120,240,5.377047011679453,-0.09801317932063668,1.327391474022933,0.32119465820506193,120,-1.3998868158517792,-2.656812210946997,OperProf,net_range_cost,activate,reject,1970-01-31,2024-11-30,-2.3368006353018784,-1.8256559357319226
